,mean,std,baseline_mean,baseline_std
ACCURACY_example_based,0.189,0.147,0.204,0.131
AUCROC_MICRO,0.047,0.045,0.062,0.038
AUPRC_MICRO,0.148,0.133,0.213,0.125
F1_example_based,0.147,0.108,0.194,0.129
HAMMING_LOSS_example_based,0.05,0.06,0.071,0.048
MACRO_F1,0.204,0.154,0.227,0.121
MACRO_PRECISION,0.236,0.166,0.227,0.121
MACRO_RECALL,0.188,0.153,0.224,0.123
MICRO_F1,0.127,0.081,0.181,0.117
MICRO_PRECISION,0.134,0.081,0.183,0.116
MICRO_RECALL,0.114,0.088,0.179,0.12
PRECISION_example_based,0.161,0.123,0.193,0.125
RECALL_example_based,0.143,0.103,0.183,0.127
SUBSET_ACCURACY,0.174,0.149,0.267,0.14
