,mean,std,baseline_mean,baseline_std
ACCURACY_example_based,0.204,0.132,0.204,0.132
AUCROC_MICRO,0.081,0.047,0.082,0.045
AUPRC_MICRO,0.152,0.126,0.228,0.134
F1_example_based,0.135,0.075,0.193,0.13
HAMMING_LOSS_example_based,0.058,0.057,0.076,0.05
MACRO_F1,0.189,0.164,0.228,0.122
MACRO_PRECISION,0.197,0.171,0.227,0.129
MACRO_RECALL,0.184,0.155,0.226,0.119
MICRO_F1,0.124,0.102,0.185,0.12
MICRO_PRECISION,0.143,0.113,0.194,0.127
MICRO_RECALL,0.114,0.104,0.171,0.11
PRECISION_example_based,0.147,0.111,0.193,0.131
RECALL_example_based,0.121,0.079,0.174,0.122
SUBSET_ACCURACY,0.164,0.131,0.268,0.138
